,time,BBDC4,GGBR4,MGLU3
434,2022-04-11T11:00:00-03:00,21.49,29.01,6.11
435,2022-04-11T12:00:00-03:00,21.62,28.88,6.13
436,2022-04-11T13:00:00-03:00,21.62,29.22,6.16
437,2022-04-11T14:00:00-03:00,21.69,29.5,6.14
438,2022-04-11T15:00:00-03:00,21.64,29.39,6.11
439,2022-04-11T16:00:00-03:00,21.5,29.4,6.1
443,2022-04-12T10:00:00-03:00,21.57,28.96,6.23
444,2022-04-12T11:00:00-03:00,21.5,28.91,6.12
445,2022-04-12T12:00:00-03:00,21.46,28.89,6.1
446,2022-04-12T13:00:00-03:00,21.45,29.47,6.09
447,2022-04-12T14:00:00-03:00,21.37,29.42,6.03
448,2022-04-12T15:00:00-03:00,21.32,29.4,5.99
449,2022-04-12T16:00:00-03:00,21.35,29.39,5.99
450,2022-04-12T17:00:00-03:00,21.26,29.31,5.97
454,2022-04-13T10:00:00-03:00,21.32,29.08,6.0
455,2022-04-13T11:00:00-03:00,21.29,29.01,6.04
456,2022-04-13T12:00:00-03:00,21.37,29.05,6.09
457,2022-04-13T13:00:00-03:00,21.45,29.59,6.11
458,2022-04-13T14:00:00-03:00,21.5,29.15,6.07
459,2022-04-13T15:00:00-03:00,21.52,29.56,6.06
460,2022-04-13T16:00:00-03:00,21.48,29.61,6.02
465,2022-04-14T10:00:00-03:00,21.38,28.72,5.99
466,2022-04-14T11:00:00-03:00,21.42,28.9,5.96
467,2022-04-14T12:00:00-03:00,21.48,28.76,6.01
468,2022-04-14T13:00:00-03:00,21.34,29.23,6.01
469,2022-04-14T14:00:00-03:00,21.37,29.41,6.04
470,2022-04-14T15:00:00-03:00,21.31,29.27,5.99
471,2022-04-14T16:00:00-03:00,21.36,29.22,5.99
472,2022-04-14T17:00:00-03:00,21.43,29.42,6.01
476,2022-04-18T10:00:00-03:00,21.52,29.17,5.87
477,2022-04-18T11:00:00-03:00,21.47,29.13,5.95
478,2022-04-18T12:00:00-03:00,21.59,29.05,5.9
